metric,type,mean,std,min,max,median
final_t,uncontrolled,27.2117,16.4178,2.6209,40.0,39.9997
final_t,optimal_relaxed,28.0009,16.289,1.9426,40.0,39.9999
final_nS,uncontrolled,0.0,0.0,0.0,0.0,0.0
final_nS,optimal_relaxed,0.0,0.0,0.0,0.0,0.0
final_nR,uncontrolled,22379.072,35625.7687,0.0,241983.0,6588.5
final_nR,optimal_relaxed,23541.5,33576.5939,0.0,195428.0,10590.5
max_nS,uncontrolled,51.086,1.5148,50.0,62.0,51.0
max_nS,optimal_relaxed,51.124,1.4299,50.0,58.0,51.0
max_nR,uncontrolled,22380.024,35625.53,1.0,241983.0,6588.5
max_nR,optimal_relaxed,23542.42,33576.4154,1.0,195431.0,10591.5
total_steps,uncontrolled,49388.85,78329.6424,95.0,532832.0,14654.5
total_steps,optimal_relaxed,51959.21,73866.6804,85.0,429027.0,23677.0
eradicated,uncontrolled,0.382,0.4859,0.0,1.0,0.0
eradicated,optimal_relaxed,0.354,0.4782,0.0,1.0,0.0
resistance,uncontrolled,0.622,0.4849,0.0,1.0,1.0
resistance,optimal_relaxed,0.65,0.477,0.0,1.0,1.0
mean_k2,uncontrolled,1.5,0.0,1.5,1.5,1.5
mean_k2,optimal_relaxed,1.4962,0.0087,1.447,1.5164,1.4999
total_kl_cost,uncontrolled,0.0,0.0,0.0,0.0,0.0
total_kl_cost,optimal_relaxed,3.054,2.5413,0.0,15.812,2.3727
